Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
"[""115_limit_reached"", ""err_code_16002""]",第三方网盘返回错误：已达到当前访问上限，升级更高等级VIP可获更多额度,"Third-party cloud drive error: access limit reached, upgrade to higher VIP tier for more quota","Fehler bei Drittanbieter-Cloud-Drive: Zugriffslimit erreicht, Upgrade auf höhere VIP-Stufe für mehr Kontingent",サードパーティのクラウドストレージからのエラー：現在のアクセス上限に達しました。より多くの容量を利用するには、VIPレベルをアップグレードしてください。,Erreur de cloud drive tiers : Vous avez atteint la limite d'accès actuelle. Veuillez passer à un abonnement VIP supérieur pour obtenir plus de quota.,Error de cloud drive de terceros: límite de acceso alcanzado. Actualice a un plan VIP superior para más capacidad.,"Erro de unidade cloud de terceiros: limite de acesso atingido, atualize para VIP superior para mais quota","Fout met cloud drive van derden: toegangs limiet bereikt, upgrade naar een hogere VIP laag voor meer quota","Errore del disco cloud di terze parti: limite di accesso raggiunto, aggiorna a un livello VIP superiore per ottenere una quota maggiore",타사 클라우드 드라이브 오류: 현재 액세스 한도에 도달했습니다. 더 많은 용량을 사용하려면 상위 등급의 VIP로 업그레이드해 주세요.,第三方網盤返回錯誤：已達到當前訪問上限，升級更高等級VIP可獲更多額度
"[""Temporary failure in name resolution"", ""dial tcp: lookup""]",网络错误，DNS存在异常,"Network error, DNS issue detected","Netzwerkfehler, DNS-Problem erkannt",ネットワークエラー：DNSに異常があります。,Erreur réseau. Anomalie DNS détectée.,Error de red: problema de DNS detectado.,Erro de rede: problema de DNS detectado,"Netwerk fout, DNS probleem gedetecteerd","Errore di rete, rilevato problema DNS","네트워크 오류, DNS에 문제가 있습니다.",網絡錯誤，DNS存在異常
"[""threat_server_security""]",很抱歉，由于您访问的URL有可能对网站造成安全威胁，您的访问被阻断,Access blocked due to potential security risk from the requested URL,"Zugriff blockiert, potenzielles Sicherheitsrisiko durch die angeforderte URL",申し訳ありませんが、アクセスしたURLがサイトのセキュリティを脅かす可能性があるため、アクセスがブロックされました。,Accès bloqué en raison d'un risque potentiel pour la sécurité de l'URL demandée.,Acceso bloqueado debido a un posible riesgo de seguridad por la URL solicitada.,Acesso bloqueado: a URL solicitada representa risco de segurança ao website,Toegang geblokkeerd vanwege mogelijk beveiligings risico van de opgevraagde URL,Accesso bloccato a causa di un potenziale rischio di sicurezza proveniente dall'URL richiesto,죄송합니다. 요청하신 URL이 웹사이트 보안에 위협이 될 수 있어 접근이 차단되었습니다.,很抱歉，由於您訪問的URL有可能對網站造成安全威脅，您的訪問被阻斷
"[""no_such_upload"", ""NoSuchUpload""]",上传任务不存在,Upload task does not exist,Upload-Aufgabe existiert nicht,アップロードタスクが存在しません。,La tâche de transfert n'existe pas.,La tarea de carga no existe.,Tarefa de upload não existe,Upload taak bestaat niet,Il compito di caricamento non esiste,업로드 작업이 존재하지 않습니다.,上傳任務不存在
"[""directory_depth_exceeded"", ""err_code_16001""]",文件夹层级已超过25层限制，请清理,"Folder depth exceeds 25-level limit, please clean up","Ordnerstruktur überschreitet das Limit von 25 Ebenen, bitte bereinigen",フォルダーの階層が25階層の制限を超えています。整理してください。,La hiérarchie des dossiers dépasse la limite de 25 niveaux. Veuillez la simplifier.,"La profundidad de carpetas supera el límite de 25 niveles, por favor realice una limpieza.",Profundidade de pasta excede 25-níveis. Limpe a estrutura,"Map diepte overschrijdt de limiet van 25 niveaus, ruim op","La profondità della cartella supera il limite di 25 livelli, pulisci",폴더 깊이가 25단계를 초과했습니다. 폴더를 정리해 주세요.,資料夾層級已超過25層限制，請清理
"[""source file is being updated"", ""file_being_modified""]",源文件被修改,source file is being updated,Die Quelldatei wurde geändert,ソースファイルが変更されました,Le fichier source a été modifié,El archivo fuente ha sido modificado,O arquivo de origem foi modificado,Het bronbestand is gewijzigd,Il file sorgente è stato modificato,원본 파일이 수정되었습니다.,源文件被修改
"[""exceeded_the_limit_of_this_directory""]",超出该网盘目录的存放上限,Exceeded directory limit of this cloud drive,Verzeichnislimit dieses Cloud-Drives überschritten,このクラウドストレージディレクトリの保存上限を超えています。,La limite de stockage du répertoire de ce cloud drive a été dépassée.,Se ha excedido el límite de directorios de cloud drive.,Limite de diretórios excedido nesta unidade cloud,Map limiet van deze cloud drive overschreden,Superato il limite di directory di questo disco cloud,해당 클라우드 드라이브 디렉토리의 저장 한도를 초과했습니다.,超出該網盤目錄的存放上限
"[""Error Code: FileAlreadyExists""]",文件校验异常,File verification error,Dateiüberprüfung fehlgeschlagen,ファイルの整合性チェックに異常が発生しました。,Erreur de vérification du fichier.,Error de verificación de archivo,Erro de verificação de ficheiro,Fout bij bestands verificatie,Errore di verifica del file,파일 검증 오류,文件校驗異常
"[""err_code_15009""]",此账号被冻结,Account has been frozen,Konto wurde eingefroren,このアカウントは凍結されています。,Ce compte a été gelé.,Cuenta suspendida,Conta congelada,Account is geblokkeerd,L'account è stato bloccato,이 계정은 정지되었습니다.,此帳號被凍結
"[""405 Not Allowed""]",文件被网盘拦截,File blocked by the cloud drive,Datei vom Cloud-Drive blockiert,ファイルがクラウドストレージによってブロックされました。,Le fichier a été intercepté par le cloud drive.,Archivo bloqueado por cloud drive.,Ficheiro bloqueado pela unidade cloud,Bestand geblokkeerd door de cloud drive,Il file è bloccato dal disco cloud,파일이 클라우드 드라이브에서 차단되었습니다.,文件被網盤攔截
"[""Quota exceeded for quota metric"", ""rateLimitExceeded""]",Google Drive通道当前拥堵，请稍后再试,"Google Drive channel is currently congested, please try again later","Der Google Drive-Kanal ist derzeit überlastet, bitte versuchen Sie es später noch einmal",Google Driveのチャンネルが現在混雑しています。しばらくしてから再試行してください。,"Le canal Google Drive est actuellement encombré, veuillez réessayer plus tard.","El canal de Google Drive está congestionado. Por favor, inténtelo más tarde.",O canal do Google Drive está sobrecarregado no momento. Tente novamente mais tarde.,"Google Drive-kanaal is momenteel overbelast, probeer het later opnieuw","Il canale Google Drive è attualmente congestionato, riprova più tardi",구글 드라이브 채널이 혼잡합니다. 나중에 다시 시도하세요,Google Drive通道當前擁堵，請稍後再試
"[""found OneNote file when looking for folder"", ""download_not_supported""]",该文件仅支持在线编辑，不支持下载,The file is only available for online editing and cannot be downloaded,Die Datei kann nur online bearbeitet und nicht heruntergeladen werden,このファイルはオンライン編集にのみ対応しており、ダウンロードはできません。,Ce fichier prend uniquement en charge l'édition en ligne et ne peut pas être téléchargé.,El archivo solo está disponible para edición en línea y no puede descargarse.,O ficheiro está disponível apenas para edição online e não pode ser baixado.,Het bestand is alleen beschikbaar voor online bewerking en kan niet worden gedownload,Il file è disponibile solo per la modifica online e non può essere scaricato.,이 파일은 온라인 편집만 가능하며 다운로드할 수 없습니다,該文件僅支持在線編輯，不支持下載
"[""quark_err_10001""]",第三方网盘返回错误：接口鉴权失败,Third-party cloud drive error: API authentication failed,Third-party cloud drive error: API authentication failed,Third-party cloud drive error: API authentication failed,Third-party cloud drive error: API authentication failed,Third-party cloud drive error: API authentication failed,Third-party cloud drive error: API authentication failed,Third-party cloud drive error: API authentication failed,Third-party cloud drive error: API authentication failed,타사 클라우드 드라이브 오류: API 인증 실패,第三方網盤返回錯誤：接口鑑權失敗
"[""quark_err_11000""]",第三方网盘返回错误：Refresh Token无效，需要重新登陆,"Third-party cloud drive error: Refresh Token is invalid, you need to log in again","Third-party cloud drive error: Refresh Token is invalid, you need to log in again","Third-party cloud drive error: Refresh Token is invalid, you need to log in again","Third-party cloud drive error: Refresh Token is invalid, you need to log in again","Third-party cloud drive error: Refresh Token is invalid, you need to log in again","Third-party cloud drive error: Refresh Token is invalid, you need to log in again","Third-party cloud drive error: Refresh Token is invalid, you need to log in again","Third-party cloud drive error: Refresh Token is invalid, you need to log in again",타사 클라우드 드라이브 오류: Refresh Token이 유효하지 않습니다. 다시 로그인해야 합니다,第三方網盤返回錯誤：Refresh Token無效，需要重新登陸
"[""quark_err_11001""]",第三方网盘返回错误：Access Token无效或过期，需要刷新,Third-party cloud drive error: Access Token is invalid or expired and needs to be refreshed,Third-party cloud drive error: Access Token is invalid or expired and needs to be refreshed,Third-party cloud drive error: Access Token is invalid or expired and needs to be refreshed,Third-party cloud drive error: Access Token is invalid or expired and needs to be refreshed,Third-party cloud drive error: Access Token is invalid or expired and needs to be refreshed,Third-party cloud drive error: Access Token is invalid or expired and needs to be refreshed,Third-party cloud drive error: Access Token is invalid or expired and needs to be refreshed,Third-party cloud drive error: Access Token is invalid or expired and needs to be refreshed,타사 클라우드 드라이브 오류: Access Token이 유효하지 않거나 만료되었습니다. 갱신이 필요합니다,第三方雲端硬碟返回錯誤：Access Token無效或過期，需要重新整理
"[""quark_err_11002""]",第三方网盘返回错误：授权码Code二维码过期，需要重新请求授权Code,Third-party cloud drive error: The authorization code QR code has expired and you need to request the authorization code again,Third-party cloud drive error: The authorization code QR code has expired and you need to request the authorization code again,Third-party cloud drive error: The authorization code QR code has expired and you need to request the authorization code again,Third-party cloud drive error: The authorization code QR code has expired and you need to request the authorization code again,Third-party cloud drive error: The authorization code QR code has expired and you need to request the authorization code again,Third-party cloud drive error: The authorization code QR code has expired and you need to request the authorization code again,Third-party cloud drive error: The authorization code QR code has expired and you need to request the authorization code again,Third-party cloud drive error: The authorization code QR code has expired and you need to request the authorization code again,타사 클라우드 드라이브 오류: 인증 코드 QR이 만료되었습니다. 인증 코드를 다시 요청하세요,第三方網盤返回錯誤：授權碼Code二維碼過期，需要重新請求授權Code
"[""quark_err_11003""]",第三方网盘返回错误：用户未确认授权,Third-party cloud drive error: User did not confirm authorization,Third-party cloud drive error: User did not confirm authorization,Third-party cloud drive error: User did not confirm authorization,Third-party cloud drive error: User did not confirm authorization,Third-party cloud drive error: User did not confirm authorization,Third-party cloud drive error: User did not confirm authorization,Third-party cloud drive error: User did not confirm authorization,Third-party cloud drive error: User did not confirm authorization,타사 클라우드 드라이브 오류: 사용자가 인증을 확인하지 않았습니다,第三方雲端硬碟返回錯誤：使用者未確認授權
"[""quark_err_11004""]",第三方网盘返回错误：授权码Code无效,Third-party cloud drive error: The authorization code is invalid.,Third-party cloud drive error: The authorization code is invalid.,Third-party cloud drive error: The authorization code is invalid.,Third-party cloud drive error: The authorization code is invalid.,Third-party cloud drive error: The authorization code is invalid.,Third-party cloud drive error: The authorization code is invalid.,Third-party cloud drive error: The authorization code is invalid.,Third-party cloud drive error: The authorization code is invalid.,타사 클라우드 드라이브 오류: 인증 코드가 유효하지 않습니다,第三方網盤返回錯誤：授權碼Code無效
"[""quark_err_11005""]",第三方网盘返回错误：用户开放平台接口异常，请重试,"Third-party cloud drive error: User open platform api exception, Please try again","Third-party cloud drive error: User open platform api exception, Please try again","Third-party cloud drive error: User open platform api exception, Please try again","Third-party cloud drive error: User open platform api exception, Please try again","Third-party cloud drive error: User open platform api exception, Please try again","Third-party cloud drive error: User open platform api exception, Please try again","Third-party cloud drive error: User open platform api exception, Please try again","Third-party cloud drive error: User open platform api exception, Please try again","타사 클라우드 드라이브 오류: 사용자 오픈 플랫폼 API 예외, 다시 시도하세요",第三方雲端硬碟返回錯誤：使用者開放平臺接口異常，請重試
"[""quark_err_11006""]",第三方网盘返回错误：黑名单拦截,Third-party cloud drive error: Blacklist interception,Third-party cloud drive error: Blacklist interception,Third-party cloud drive error: Blacklist interception,Third-party cloud drive error: Blacklist interception,Third-party cloud drive error: Blacklist interception,Third-party cloud drive error: Blacklist interception,Third-party cloud drive error: Blacklist interception,Third-party cloud drive error: Blacklist interception,타사 클라우드 드라이브 오류: 블랙리스트 차단,第三方網盤返回錯誤：黑名單攔截
"[""quark_err_11007""]",第三方网盘返回错误：请更新系统时间,Third-party cloud drive error: Please update the system time,Third-party cloud drive error: Please update the system time,Third-party cloud drive error: Please update the system time,Third-party cloud drive error: Please update the system time,Third-party cloud drive error: Please update the system time,Third-party cloud drive error: Please update the system time,Third-party cloud drive error: Please update the system time,Third-party cloud drive error: Please update the system time,타사 클라우드 드라이브 오류: 시스템 시간을 업데이트하세요,第三方網盤返回錯誤：請更新系統時間
"[""quark_err_11008""]",第三方网盘返回错误：用户已取消授权,Third-party cloud drive error: User has cancelled authorization,Third-party cloud drive error: User has cancelled authorization,Third-party cloud drive error: User has cancelled authorization,Third-party cloud drive error: User has cancelled authorization,Third-party cloud drive error: User has cancelled authorization,Third-party cloud drive error: User has cancelled authorization,Third-party cloud drive error: User has cancelled authorization,Third-party cloud drive error: User has cancelled authorization,타사 클라우드 드라이브 오류: 사용자가 인증을 취소했습니다,第三方雲端硬碟返回錯誤：使用者已取消授權
"[""quark_err_12000""]",第三方网盘返回错误：用户会员等级不够或者失效,Third-party cloud drive error: User vip level is insufficient or invalid,Third-party cloud drive error: User vip level is insufficient or invalid,Third-party cloud drive error: User vip level is insufficient or invalid,Third-party cloud drive error: User vip level is insufficient or invalid,Third-party cloud drive error: User vip level is insufficient or invalid,Third-party cloud drive error: User vip level is insufficient or invalid,Third-party cloud drive error: User vip level is insufficient or invalid,Third-party cloud drive error: User vip level is insufficient or invalid,타사 클라우드 드라이브 오류: 사용자 VIP 등급이 부족하거나 유효하지 않습니다,第三方雲端硬碟返回錯誤：使用者會員等級不夠或者失效
"[""quark_err_14001""]",第三方网盘返回错误：参数异常,Third-party cloud drive error: Parameter error,Third-party cloud drive error: Parameter error,Third-party cloud drive error: Parameter error,Third-party cloud drive error: Parameter error,Third-party cloud drive error: Parameter error,Third-party cloud drive error: Parameter error,Third-party cloud drive error: Parameter error,Third-party cloud drive error: Parameter error,타사 클라우드 드라이브 오류: 매개변수 오류,第三方網盤返回錯誤：參數異常
"[""quark_err_14012""]",第三方网盘返回错误：文件夹名称包含非法字符,Third-party cloud drive error: The folder name contains illegal characters,Third-party cloud drive error: The folder name contains illegal characters,Third-party cloud drive error: The folder name contains illegal characters,Third-party cloud drive error: The folder name contains illegal characters,Third-party cloud drive error: The folder name contains illegal characters,Third-party cloud drive error: The folder name contains illegal characters,Third-party cloud drive error: The folder name contains illegal characters,Third-party cloud drive error: The folder name contains illegal characters,타사 클라우드 드라이브 오류: 폴더명에 유효하지 않은 문자가 포함되어 있습니다,第三方網盤返回錯誤：資料夾名稱包含非法字符
"[""quark_err_14014""]",第三方网盘返回错误：文件名审核不通过,Third-party cloud drive error: File name error,Third-party cloud drive error: File name error,Third-party cloud drive error: File name error,Third-party cloud drive error: File name error,Third-party cloud drive error: File name error,Third-party cloud drive error: File name error,Third-party cloud drive error: File name error,Third-party cloud drive error: File name error,타사 클라우드 드라이브 오류: 파일명 오류,第三方網盤返回錯誤：文件名審覈不通過
"[""quark_err_20001""]",第三方网盘返回错误：网盘接口异常,Third-party cloud drive error: Cloud drive api abnormality,Third-party cloud drive error: Cloud drive api abnormality,Third-party cloud drive error: Cloud drive api abnormality,Third-party cloud drive error: Cloud drive api abnormality,Third-party cloud drive error: Cloud drive api abnormality,Third-party cloud drive error: Cloud drive api abnormality,Third-party cloud drive error: Cloud drive api abnormality,Third-party cloud drive error: Cloud drive api abnormality,타사 클라우드 드라이브 오류: 클라우드 드라이브 API 이상,第三方網盤返回錯誤：網盤接口異常
"[""quark_err_22001""]",第三方网盘返回错误：非法文件（文件审核不通过）,Third-party cloud drive error: Illegal file,Third-party cloud drive error: Illegal file,Third-party cloud drive error: Illegal file,Third-party cloud drive error: Illegal file,Third-party cloud drive error: Illegal file,Third-party cloud drive error: Illegal file,Third-party cloud drive error: Illegal file,Third-party cloud drive error: Illegal file,타사 클라우드 드라이브 오류: 불법 파일,第三方網盤返回錯誤：非法文件（文件審覈不通過）
"[""quark_err_23006""]",第三方网盘返回错误：目标目录不存在,Third-party cloud drive error: The target directory does not exist,Third-party cloud drive error: The target directory does not exist,Third-party cloud drive error: The target directory does not exist,Third-party cloud drive error: The target directory does not exist,Third-party cloud drive error: The target directory does not exist,Third-party cloud drive error: The target directory does not exist,Third-party cloud drive error: The target directory does not exist,Third-party cloud drive error: The target directory does not exist,타사 클라우드 드라이브 오류: 대상 디렉토리가 존재하지 않습니다,第三方網盤返回錯誤：目標目錄不存在
"[""quark_err_32003""]",第三方网盘返回错误：容量超限,Third-party cloud drive error: Capacity exceeded,Third-party cloud drive error: Capacity exceeded,Third-party cloud drive error: Capacity exceeded,Third-party cloud drive error: Capacity exceeded,Third-party cloud drive error: Capacity exceeded,Third-party cloud drive error: Capacity exceeded,Third-party cloud drive error: Capacity exceeded,Third-party cloud drive error: Capacity exceeded,타사 클라우드 드라이브 오류: 용량 초과,第三方網盤返回錯誤：容量超限
"[""quark_err_32004""]",第三方网盘返回错误：上传单文件大小超限,Third-party cloud drive error: The upload file size exceeds the limit,Third-party cloud drive error: The upload file size exceeds the limit,Third-party cloud drive error: The upload file size exceeds the limit,Third-party cloud drive error: The upload file size exceeds the limit,Third-party cloud drive error: The upload file size exceeds the limit,Third-party cloud drive error: The upload file size exceeds the limit,Third-party cloud drive error: The upload file size exceeds the limit,Third-party cloud drive error: The upload file size exceeds the limit,타사 클라우드 드라이브 오류: 업로드 파일 크기가 제한을 초과했습니다,第三方網盤返回錯誤：上傳單文件大小超限
"[""quark_err_43005""]",第三方网盘返回错误：文件实际sha1或size与上报不一致（需重新上传）,Third-party cloud drive error: The actual sha1 or size of the file is inconsistent with the reported one (need to upload again),Third-party cloud drive error: The actual sha1 or size of the file is inconsistent with the reported one (need to upload again),Third-party cloud drive error: The actual sha1 or size of the file is inconsistent with the reported one (need to upload again),Third-party cloud drive error: The actual sha1 or size of the file is inconsistent with the reported one (need to upload again),Third-party cloud drive error: The actual sha1 or size of the file is inconsistent with the reported one (need to upload again),Third-party cloud drive error: The actual sha1 or size of the file is inconsistent with the reported one (need to upload again),Third-party cloud drive error: The actual sha1 or size of the file is inconsistent with the reported one (need to upload again),Third-party cloud drive error: The actual sha1 or size of the file is inconsistent with the reported one (need to upload again),타사 클라우드 드라이브 오류: 파일의 실제 sha1 또는 크기가 보고된 것과 일치하지 않습니다(재업로드 필요),第三方網盤返回錯誤：文件實際sha1或size與上報不一致（需重新上傳）
"[""quark_err_53000""]",第三方网盘返回错误：系统维护升级,Third-party cloud drive error: System maintenance and upgrade,Third-party cloud drive error: System maintenance and upgrade,Third-party cloud drive error: System maintenance and upgrade,Third-party cloud drive error: System maintenance and upgrade,Third-party cloud drive error: System maintenance and upgrade,Third-party cloud drive error: System maintenance and upgrade,Third-party cloud drive error: System maintenance and upgrade,Third-party cloud drive error: System maintenance and upgrade,타사 클라우드 드라이브 오류: 시스템 점검 및 업그레이드 중,第三方網盤返回錯誤：系統維護升級
"[""quark_err_429""]",夸克接口限流，请稍后再试,"Quark API rate limiting, please try again later.","Quark API rate limiting, please try again later.","Quark API rate limiting, please try again later.","Quark API rate limiting, please try again later.","Quark API rate limiting, please try again later.","Quark API rate limiting, please try again later.","Quark API rate limiting, please try again later.","Quark API rate limiting, please try again later.","Quark API rate limiting, please try again later.",Quark API 請求頻率受限，請稍後再試。
"[""default_nickname""]",未设置昵称,No nickname set,No nickname set,No nickname set,No nickname set,No nickname set,No nickname set,No nickname set,No nickname set,No nickname set,未設定暱稱
"[""Code: InvalidParameter.Name, Msg: The input parameter name is not valid.""]",文件名不能包含下列任何字符：\/,File names cannot contain any of following characters: \/,Der Dateiname darf keines der folgenden Zeichen enthalten: \/,ファイル名に次の文字を含めないでください：\/,Les noms de fichiers ne peuvent pas contenir les caractères suivants : \/,"no admite la subida de archivos con nombres que contengan caracteres especiales, incluidos: \/",Nomes de ficheiro não podem conter: \/,De bestandsnaam mag geen van de volgende tekens bevatten: \/,i nomi dei file non possono contenere i seguenti caratteri: \/,파일명에 다음 문자들을 포함할 수 없습니다: \/,檔案名稱不能包含下列任何字元：\/
"[""the sync task is corrupted""]",同步任务已损坏,The sync task is corrupted,Die Synchronisierungsaufgabe ist beschädigt,同期タスクが破損しています,La tâche de synchronisation est corrompue,La tarea de sincronización está dañada,A tarefa de sincronização está corrompida,De synchronisatietaak is beschadigd,Il task di sincronizzazione è danneggiato,동기화 작업이 손상되었습니다,同步任務已損壞
"[""Operation in progress""]",操作进行中,Operation in progress,Vorgang läuft,操作が進行中です,Opération en cours,Operación en curso,Operação em andamento,Operatie bezig,Operazione in corso,작업 진행 중입니다,操作進行中
"[""tianyi_code: UserDayFlowOverLimited""]",上传该文件会超过第三方网盘的今日流量限制,Uploading this file will exceed the current traffic limit of the third-party network disk,Das Hochladen dieser Datei überschreitet das aktuelle Datenverkehrslimit der Netzwerkfestplatte des Drittanbieters,このファイルをアップロードすると、サードパーティのネットワーク ディスクの現在のトラフィック制限を超えます操作が進行中です,Le téléchargement de ce fichier dépassera la limite de trafic actuelle du disque réseau tiers,Cargar este archivo excederá el límite de tráfico actual del disco de red de terceros,O upload deste arquivo excederá o limite de tráfego atual do disco de rede de terceiros,"Als u dit bestand uploadt, overschrijdt u de huidige verkeerslimiet van de netwerkschijf van derden",Il caricamento di questo file supererà il limite di traffico giornaliero del servizio di storage cloud di terze parti,이 파일을 업로드하면 제3자 클라우드 스토리지의 오늘의 트래픽 제한을 초과하게 됩니다,上傳該文件會超過第三方網盤的今日流量限制
"[""tianyi_code: DownloadFileMD5ErrorCode""]",由于版权限制，该文件暂时不支持下载,"Due to copyright restrictions, this file is currently unavailable for download",Aufgrund von Urheberrechtsbeschränkungen kann diese Datei vorübergehend nicht heruntergeladen werden,著作権の制限により、このファイルは一時的にダウンロードできません,"En raison de restrictions de droits d'auteur, ce fichier ne peut pas être téléchargé pour le moment.","Debido a restricciones de derechos de autor, este archivo no está disponible para su descarga actualmente","Devido a restrições de direitos autorais, este arquivo está indisponível para download atualmente",Vanwege copyrightbeperkingen kan dit bestand voorlopig niet worden gedownload,"A causa di restrizioni sul copyright, questo file non è attualmente disponibile per scaricare",저작권 제한으로 인해 이 파일은 현재 다운로드를 지원하지 않습니다.,由於版權限制，該檔案暫時不支援下載
"[""非常抱歉服务暂时不可用"", ""tianyi_code: S3ClientException"", ""tianyi_code: S3Exception"", ""tianyi_code: AccessUserMsgError"", ""tianyi_code: SaveUserFileErrorCode"", ""Unable to execute HTTP request""]",服务暂时不可用，请重试,"service temporarily unavailable, plz try again.","service temporarily unavailable, plz try again.","service temporarily unavailable, plz try again.","service temporarily unavailable, plz try again.","service temporarily unavailable, plz try again.","service temporarily unavailable, plz try again.","service temporarily unavailable, plz try again.","service temporarily unavailable, plz try again.","service temporarily unavailable, plz try again.",服務暫時不可用，請重試
"[""UserNotAllowedAccessResource""]",该文件被阿里封禁或你的账号被阿里限制,The file or your account has been restricted by Aliyun Drive,Diese Datei oder Ihr Konto wurde von Aliyun Drive eingeschränkt,このファイルまたはあなたのアカウントは、Aliyun Driveによって制限されています。,Le fichier ou votre compte a été restreint par Aliyun Drive.,El archivo o su cuenta ha sido restringido por Aliyun Drive,O ficheiro ou a sua conta foi restringido pelo Aliyun Drive,Dit bestand of uw account is beperkt door Aliyun Drive,Il file o il tuo account è stato limitato da Aliyun Drive,이 파일은 알리에 의해 차단되었거나 사용자님의 계정이 알리에 의해 제한되었습니다.,此檔案被阿里封禁或您的帳號被阿里限制
"[""tianyi_code: InfoSecurityErrorCode""]",文件违反天翼云盘信息安全规则,This file violates the information security rules of 189 Cloud,Die Datei verstößt gegen die Informationssicherheitsregeln von 189 Cloud,このファイルは 189 Cloud の情報セキュリティに違反しています。,Ce fichier enfreint les règles de sécurité de l'information de 189 Cloud.,Este archivo infringe las normas de seguridad de la información de 189 Cloud,Este arquivo viola as regras de segurança da informação do 189 Cloud,Het bestand overtreedt de informatiebeveiligingsregels van 189 Cloud,Questo file viola le regole di sicurezza delle informazioni di 189 Cloud,파일이 189 Cloud의 정보 보안 규정을 위반합니다.,檔案違反189 Cloud 資訊安全規則
"[""membership_benefits_functional_privileges""]",功能特权,Premium features,Premium-Funktionen,プレミアム機能,Privilèges fonctionnels,Funciones premium,Privilégio funcional,Premiumfuncties,Privilegio della funzionalità,프리미엄 기능,功能特權
"[""membership_benefits_normal_member""]",普通会员,Ordinary member,Standardbenutzer,通常会員,Membre standard,Usuario normal,Membro ordinário,Standaardgebruiker,Membro ordinario,일반 사용자,普通會員
"[""membership_benefits_fast_download""]",极速下载,Fast download,Schnell herunterladen,高速ダウンロード,Téléchargement ultrarapide,Descarga rápida,Download rápido,Snel downloaden,Scaricamento rapido,초고속 다운로드,極速下載
"[""membership_benefits_large_file_sync""]",大文件同步,Large file sync,Großdatei-Sync,大容量ファイル同期,Synchronisation de gros fichiers,Sincronización de archivos grandes,Sync de arquivos grandes,Grote-bestandssync,Sincronizzazione file grandi,대용량 파일 동기화,大檔案同步
"[""membership_benefits_single_file_2T""]",2T单文件,2T single file,Einzelne Datei von 2 TB,2T単一ファイル,Fichier unique de 2 TB,Archivo único de 2 TB,Arquivo único de 2T,Enkel bestand van 2 TB,File singolo da 2 TB,2TB 단일 파일,2T單文件
"[""membership_benefits_single_file_300G""]",300G单文件,300G single file,Einzelne Datei von 300 GB,300G 単一ファイル,Fichier unique de 300 GB,Archivo único de 300 GB,Arquivo único de 300G,Enkel bestand van 300 GB,File singolo da 300 GB,300GB 단일 파일,300G單文件
"[""membership_benefits_single_file_4G""]",4G单文件,4G single file,Einzelne Datei von 4 GB,4G 単一ファイル,Fichier unique de 4 GB,Archivo único de 4 GB,Arquivo único de 4G,Enkel bestand van 4 GB,File singolo da 4 G,4GB 단일 파일,4G單文件
"[""membership_benefits_auto_sync""]",自动同步,Auto sync,Auto-Sync,自動同期,Synchronisation automatique,Sincronización automática,Sincronização automática,Auto-sync,Sync auto,자동 동기화,自動同步
"[""membership_benefits_parallel_num""]",并行数,Concurrent tasks,Gleichzeitige Aufgaben,同時実行タスク数,Tâches simultanées,Tareas concurrentes,Tarefas simultâneas,Gelijktijdige taken,Attività concorrenti,동시 실행 수,并行数
"[""membership_benefits_custom_folders""]",自定义文件夹,Custom folder,Ordner anpassen,カスタムフォルダ,Dossier personnalisé,Carpeta personalizada,Pasta personalizada,Mappen aanpassen,Cartella personalizzata,사용자 정의 폴더,自訂資料夾
"[""membership_benefits_folder_any""]",任意文件夹,Any folder,Beliebige Ordner,任意フォルダ,N'importe quel dossier,Cualquier carpeta,Qualquer pasta,Willekeurige mappen,Qualsiasi cartella,임의 폴더,任意資料夾
"[""membership_benefits_folder_specified""]",指定文件夹,Specified folder,Bestimmte Ordner,指定フォルダ,Dossier spécifié,Carpeta especificada,Pasta especificada,Specifieke mappen,Cartella specificata,지정 폴더,指定資料夾
"[""membership_benefits_tips""]",开通百度网盘SVIP/NAS会员，享会员权益,Subscribe to Baidu Netdisk SVIP/NAS membership to enjoy more benefits,"Baidu Netdisk SVIP / NAS-Mitgliedschaft abonnieren, um exklusive Vorteile zu genießen",Baidu Netdisk SVIP/NASメンバーシップを登録して、会員特典を楽しむ,Abonnez-vous au SVIP Baidu Netdisk ou au NAS et profitez d'avantages exclusifs,Suscríbete a la membresía SVIP/NAS de Baidu Netdisk para disfrutar de más beneficios,Inscreva-se na assinatura SVIP/NAS do Baidu Netdisk para desfrutar de mais benefícios,Abonneer op Baidu Netdisk SVIP / NAS-lidmaatschap voor exclusieve voordelen,Abbonati a Baidu Netdisk SVIP/NAS per usufruire di più vantaggi,Baidu Netdisk SVIP/NAS 회원에 가입하고 혜택을 누릴 수 있어요.,開通百度網盤SVIP/NAS會員，享會員權益
"[""tianyi_membership_benefits_download_speed""]",下载速度,Download speed,Download-Geschwindigkeit,ダウンロード速度,Vitesse de téléchargement,Velocidad de descarga,Velocidade de download,Downloadsnelheid,Velocità di download,다운로드 속도,下載速度
"[""tianyi_membership_benefits_upload_speed""]",上传速度,Upload speed,Upload-Geschwindigkeit,アップロード速度,Vitesse de téléversement,Velocidad de subida,Velocidade de upload,Uploadsnelheid,Velocità di caricamento,업로드 속도,上傳速度
